2022-12-02 12:21:09.1092|INFO| INICIALIZATION | 
2022-12-02 12:21:09.1417|TRACE| TRACE | 
2022-12-02 12:21:09.1417|WARN| WARN | 
2022-12-02 12:21:09.1417|ERROR| ERORR | 
2022-12-02 12:21:09.1417|FATAL| FATAL | 
2022-12-02 12:21:09.1417|DEBUG| DEBUG | 
2022-12-02 12:21:31.8442|INFO| INICIALIZATION | 
2022-12-02 12:21:31.8627|TRACE| TRACE | 
2022-12-02 12:21:31.8627|WARN| WARN | 
2022-12-02 12:21:31.8627|ERROR| ERORR | 
2022-12-02 12:21:31.8627|FATAL| FATAL | 
2022-12-02 12:21:31.8627|DEBUG| DEBUG | 
2022-12-02 12:24:19.0404|INFO|CHATBOTCONSTRUCTORTELEGRAM.VIEWMODELS.PROJECTWINDOWVIEWMODEL|INICIALIZATION| 
2022-12-02 12:24:19.0718|TRACE|CHATBOTCONSTRUCTORTELEGRAM.VIEWMODELS.PROJECTWINDOWVIEWMODEL|TRACE| 
2022-12-02 12:24:19.0718|WARN|CHATBOTCONSTRUCTORTELEGRAM.VIEWMODELS.PROJECTWINDOWVIEWMODEL|WARN| 
2022-12-02 12:24:19.0718|ERROR|CHATBOTCONSTRUCTORTELEGRAM.VIEWMODELS.PROJECTWINDOWVIEWMODEL|ERORR| 
2022-12-02 12:24:19.0718|FATAL|CHATBOTCONSTRUCTORTELEGRAM.VIEWMODELS.PROJECTWINDOWVIEWMODEL|FATAL| 
2022-12-02 12:24:19.0718|DEBUG|CHATBOTCONSTRUCTORTELEGRAM.VIEWMODELS.PROJECTWINDOWVIEWMODEL|DEBUG| 
2022-12-02 12:26:33.4755|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 12:26:33.5033|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 12:26:33.5033|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 12:26:33.5033|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 12:26:33.5033|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 12:26:33.5033|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 12:39:12.0693|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 12:39:12.0890|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 12:39:12.0890|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 12:39:12.0890|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 12:39:12.0890|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 12:39:12.0890|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 12:40:51.4470|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 12:40:51.4699|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
